127.0.0.1 - - [03/Jan/2020:09:36:10 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:11 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:31 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:31 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:32 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:56 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:37:19 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:20 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:37 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:47 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:41:24 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:41:25 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:45:39 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:05 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:29 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:29 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:30 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:30 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:31 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:31 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:31 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:32 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:32 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:37 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:46:58 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:48:13 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:52:39 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:15:25 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:15:51 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:15:59 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:28:31 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:31:41 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:42:50 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:42:50 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:42:52 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2412
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:43:57 +0900] "GET /clientweb/css/css_basic_test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:43:57 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:43:59 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:10:43:59 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:11:46 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:11:46 +0900] "GET /clientweb/images/jang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:16:14 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:16:14 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:18:13 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2823
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:18:13 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:25 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:25 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:26 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 304 -
